22:35:46 Action done with result: Signed in!
22:35:55 Action done with result: Cursor connected!
22:35:55 Action done with result: File is opened!
22:35:57 Action done with result: No database response!
22:35:57 Action done with result: User request completed!
22:35:57 Action done with result: Transaction commited!
22:35:57 Action done with result: Cursor closed!
22:36:30 Action done with result: Cursor connected!
22:36:30 Action done with result: Successfully written in table!
22:36:30 Action done with result: Transaction commited!
22:36:30 Action done with result: Cursor closed!
22:36:32 Action done with result: Cursor connected!
22:36:32 Action done with result: Successfully read from table!
22:36:32 Editing table: Groups
(1, 'а', 2019, 1)
(2, 'а', 2018, 2)
(3, 'б', 2018, 2)
(4, 'а', 2017, 3)
(5, 'б', 2017, 3)
(6, 'в', 2017, 3)
(7, 'г', 2017, 3)
(8, 'а', 2016, 4)
(9, 'б', 2016, 4)
(10, 'в', 2016, 4)
(11, 'а', 2015, 5)
(12, 'б', 2015, 5)
(13, 'в', 2015, 5)
(14, 'г', 2015, 5)
(15, 'а', 2014, 6)
(16, 'б', 2014, 6)
(17, 'а', 2013, 7)
(18, 'а', 2012, 8)
(19, 'б', 2012, 8)
(20, 'а', 2011, 9)
(21, 'б', 2011, 9)
(22, 'в', 2011, 9)
(23, 'а', 2010, 10)
(24, 'б', 2010, 10)
(25, 'в', 2010, 10)
(26, 'а', 2009, 11)
22:36:32 Action done with result: Transaction commited!
22:36:32 Action done with result: Cursor closed!
22:36:39 Action done with result: Cursor connected!
22:36:39 Action done with result: Successfully read from table!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
