22:47:10 Action done with result: Signed in!
22:47:22 Action done with result: Cursor connected!
22:47:22 Action done with result: Successfully read from table!
22:47:22 Action done with result: File is opened!
22:47:22 Action done with result: Successfully written in table!
22:47:22 Action done with result: Transaction commited!
22:47:22 Action done with result: Cursor closed!
22:47:25 Action done with result: Cursor connected!
22:47:25 Action done with result: Successfully read from table!
22:47:25 Editing table: Achievements
(1, 155, 'Олимпиада по английскому языку "British Buldog"', 962179)
(2, 124, 'ГТО', 369851)
(3, 456, 'Олимпиада по английскому языку "British Buldog"', 998584)
(4, 195, 'Всероссийская олимпиада по истории', 5862541)
(5, 98, 'Математическая олимпиада "Кенгуру"', 9202560)
(6, 411, 'Городская олимпиада по математике', 2611864)
(7, 14, 'Всероссийская олимпиада по истории', 8523909)
(8, 204, 'Всероссийская олимпиада по химии', 7754443)
(9, 419, 'ГТО', 2187104)
(10, 381, 'Всероссийская олимпиада по химии', 4092888)
(11, 388, 'Всероссийская олимпиада по математике', 2609331)
(12, 219, 'Всероссийская олимпиада по русскому языку', 8330386)
(13, 367, 'Олимпиада по истории "Золотое руно"', 4804378)
(14, 445, 'Всероссийская олимпиада по русскому языку', 879473)
(15, 311, 'Математическая олимпиада "Кенгуру"', 9544666)
(16, 100, 'Всероссийская олимпиада по математике', 8152028)
(17, 38, 'Всероссийская олимпиада по русскому языку', 5302346)
(18, 76, 'Всероссийская олимпиада по химии', 808721)
(19, 358, 'Олимпиада по русскому языку "Русский медвежонок"', 7367940)
(20, 208, 'Городская олимпиада по русскому языку', 7314139)
(21, 317, 'Городская олимпиада по истории', 352681)
(22, 400, 'Городская олимпиада по химии', 5406219)
(23, 304, 'Всероссийская олимпиада по химии', 9654548)
(24, 213, 'Городская олимпиада по истории', 4605470)
(25, 353, 'Городская олимпиада по истории', 438559)
(26, 406, 'Олимпиада по истории "Золотое руно"', 5124567)
(27, 456, 'Всероссийская олимпиада по химии', 8938772)
(28, 408, 'Всероссийская олимпиада по химии', 4938384)
(29, 283, 'Олимпиада по английскому языку "British Buldog"', 1747383)
(30, 268, 'Городская олимпиада по математике', 6829069)
(31, 114, 'Городская олимпиада по русскому языку', 3729996)
(32, 191, 'Городская олимпиада по русскому языку', 1281529)
(33, 318, 'ГТО', 8058352)
(34, 324, 'Городская олимпиада по истории', 4734917)
(35, 302, 'Городская олимпиада по математике', 2550545)
(36, 119, 'Всероссийская олимпиада по математике', 312495)
(37, 390, 'Всероссийская олимпиада по истории', 5558025)
(38, 10, 'Олимпиада по английскому языку "British Buldog"', 6987598)
(39, 235, 'ГТО', 2589144)
(40, 280, 'Олимпиада по английскому языку "British Buldog"', 2418757)
(41, 206, 'Городская олимпиада по истории', 5534465)
(42, 337, 'Олимпиада по английскому языку "British Buldog"', 2349244)
(43, 158, 'Олимпиада по английскому языку "British Buldog"', 2633292)
(44, 104, 'Городская олимпиада по математике', 3452986)
(45, 210, 'Олимпиада по русскому языку "Русский медвежонок"', 7279756)
(46, 460, 'Городская олимпиада по математике', 7769772)
(47, 393, 'Всероссийская олимпиада по русскому языку', 408147)
(48, 17, 'Олимпиада по английскому языку "British Buldog"', 7583101)
